"Commodity","Country","UOM","Category","SubCategory","RowNumber","YearNum","FoodValue"
"Cheese, fresh or processed","REST OF WORLD","Million $","Dairy","Foods",19,"2004",449.7
"Cheese, fresh or processed","WORLD","Million $","Dairy","Foods",20,"2004",981.8
"Cheese, fresh or processed","WORLD (Quantity)","1,000 mt","Dairy","Foods",21,"2004",213.9
"Yogurt, buttermilk, or whey","NEW ZEALAND","Million $","Dairy","Foods",22,"2004",111.9
"Yogurt, buttermilk, or whey","CANADA","Million $","Dairy","Foods",23,"2004",21.3
"Yogurt, buttermilk, or whey","FRANCE","Million $","Dairy","Foods",24,"2004",1.7
"Yogurt, buttermilk, or whey","GERMANY, FED. REPUBLIC","Million $","Dairy","Foods",25,"2004",0.6
"Yogurt, buttermilk, or whey","DENMARK","Million $","Dairy","Foods",26,"2004",4.5
"Yogurt, buttermilk, or whey","MEXICO","Million $","Dairy","Foods",27,"2004",0.8
"Yogurt, buttermilk, or whey","CHILE","Million $","Dairy","Foods",28,"2004",0
"Yogurt, buttermilk, or whey","REST OF WORLD","Million $","Dairy","Foods",29,"2004",42.2
"Yogurt, buttermilk, or whey","WORLD","Million $","Dairy","Foods",30,"2004",183
"Yogurt, buttermilk, or whey","WORLD (Quantity)","1,000 mt","Dairy","Foods",31,"2004",63.4
"Milk and cream","MEXICO","Million $","Dairy","Foods",32,"2004",25.3
"Milk and cream","CHILE","Million $","Dairy","Foods",33,"2004",1.8
"Milk and cream","NETHERLANDS","Million $","Dairy","Foods",34,"2004",1.6
"Milk and cream","CANADA","Million $","Dairy","Foods",35,"2004",2.4
"Milk and cream","NEW ZEALAND","Million $","Dairy","Foods",36,"2004",10.9
"Milk and cream","PERU","Million $","Dairy","Foods",37,"2004",0
"Milk and cream","REST OF WORLD","Million $","Dairy","Foods",38,"2004",7.8
"Milk and cream","WORLD","Million $","Dairy","Foods",39,"2004",49.8
"Milk and cream","WORLD (Quantity)","1,000 mt","Dairy","Foods",40,"2004",27.8
"Butter or spreads","IRELAND","Million $","Dairy","Foods",41,"2004",2.4
"Butter or spreads","NEW ZEALAND","Million $","Dairy","Foods",42,"2004",23
"Butter or spreads","FRANCE","Million $","Dairy","Foods",43,"2004",1.6
"Butter or spreads","MEXICO","Million $","Dairy","Foods",44,"2004",2
"Butter or spreads","INDIA","Million $","Dairy","Foods",45,"2004",0.6
"Butter or spreads","CHILE","Million $","Dairy","Foods",46,"2004",0.2
"Butter or spreads","REST OF WORLD","Million $","Dairy","Foods",47,"2004",59.3
"Butter or spreads","WORLD","Million $","Dairy","Foods",48,"2004",89.1
"Butter or spreads","WORLD (Quantity)","1,000 mt","Dairy","Foods",49,"2004",41.3
"Total fruit and preparations","MEXICO","Million $","Fruits","Foods",1,"2004",1151.7
"Total fruit and preparations","PERU","Million $","Fruits","Foods",2,"2004",36.8
"Total fruit and preparations","CHILE","Million $","Fruits","Foods",3,"2004",999.4
"Total fruit and preparations","GUATEMALA","Million $","Fruits","Foods",4,"2004",352.2
"Total fruit and preparations","COSTA RICA","Million $","Fruits","Foods",5,"2004",539.4
"Total fruit and preparations","CANADA","Million $","Fruits","Foods",6,"2004",340.1
"Total fruit and preparations","CHINA (MAINLAND)","Million $","Fruits","Foods",7,"2004",393.3
"Total fruit and preparations","BRAZIL","Million $","Fruits","Foods",8,"2004",147.1
"Total fruit and preparations","THAILAND","Million $","Fruits","Foods",9,"2004",296.8
"Total fruit and preparations","ECUADOR","Million $","Fruits","Foods",10,"2004",303
"Total fruit and preparations","REST OF WORLD","Million $","Fruits","Foods",11,"2004",1487.5
"Total fruit and preparations","WORLD","Million $","Fruits","Foods",12,"2004",6047.3
"Total fruit and preparations","WORLD (Quantity)","1,000 mt","Fruits","Foods",13,"2004",8428.6
"Fresh or chilled fruit","MEXICO","Million $","Fruits","Foods",14,"2004",902.6
"Fresh or chilled fruit","PERU","Million $","Fruits","Foods",15,"2004",30.1
"Fresh or chilled fruit","CHILE","Million $","Fruits","Foods",16,"2004",872.5
"Fresh or chilled fruit","GUATEMALA","Million $","Fruits","Foods",17,"2004",346.2
"Fresh or chilled fruit","COSTA RICA","Million $","Fruits","Foods",18,"2004",472.6
"Fresh or chilled fruit","ECUADOR","Million $","Fruits","Foods",19,"2004",276.8
"Fresh or chilled fruit","HONDURAS","Million $","Fruits","Foods",20,"2004",170.3
"Fresh or chilled fruit","COLOMBIA","Million $","Fruits","Foods",21,"2004",166.4
"Fresh or chilled fruit","CANADA","Million $","Fruits","Foods",22,"2004",113.6
"Fresh or chilled fruit","MOROCCO","Million $","Fruits","Foods",23,"2004",1.4
"Fresh or chilled fruit","REST OF WORLD","Million $","Fruits","Foods",24,"2004",468.2
"Fresh or chilled fruit","WORLD","Million $","Fruits","Foods",25,"2004",3820.7
"Fresh or chilled fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",26,"2004",7169.2
"Bananas and plantains","GUATEMALA","Million $","Fruits","Foods",27,"2004",271.9
"Bananas and plantains","COSTA RICA","Million $","Fruits","Foods",28,"2004",243.6
"Bananas and plantains","ECUADOR","Million $","Fruits","Foods",29,"2004",251.2
"Bananas and plantains","HONDURAS","Million $","Fruits","Foods",30,"2004",128.6
"Bananas and plantains","COLOMBIA","Million $","Fruits","Foods",31,"2004",165
"Bananas and plantains","MEXICO","Million $","Fruits","Foods",32,"2004",11.7
"Bananas and plantains","REST OF WORLD","Million $","Fruits","Foods",33,"2004",30.3
"Bananas and plantains","WORLD","Million $","Fruits","Foods",34,"2004",1102.3
"Bananas and plantains","WORLD (Quantity)","1,000 mt","Fruits","Foods",35,"2004",4144.2
"Frozen fruit","MEXICO","Million $","Fruits","Foods",36,"2004",52.1
"Frozen fruit","CANADA","Million $","Fruits","Foods",37,"2004",80
"Frozen fruit","CHILE","Million $","Fruits","Foods",38,"2004",34.4
"Frozen fruit","PERU","Million $","Fruits","Foods",39,"2004",3.1
"Frozen fruit","COSTA RICA","Million $","Fruits","Foods",40,"2004",12.5
"Frozen fruit","GUATEMALA","Million $","Fruits","Foods",41,"2004",3.1
"Frozen fruit","REST OF WORLD","Million $","Fruits","Foods",42,"2004",39.9
"Frozen fruit","WORLD","Million $","Fruits","Foods",43,"2004",225.1
"Frozen fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",44,"2004",175.1
"Dried, prepared or preserved fruit","MEXICO","Million $","Fruits","Foods",45,"2004",130.1
"Dried, prepared or preserved fruit","CHINA (MAINLAND)","Million $","Fruits","Foods",46,"2004",217.9
"Dried, prepared or preserved fruit","THAILAND","Million $","Fruits","Foods",47,"2004",249
"Dried, prepared or preserved fruit","CANADA","Million $","Fruits","Foods",48,"2004",103.3
"Dried, prepared or preserved fruit","SOUTH KOREA","Million $","Fruits","Foods",49,"2004",8.9
"Dried, prepared or preserved fruit","CHILE","Million $","Fruits","Foods",50,"2004",18
"Dried, prepared or preserved fruit","REST OF WORLD","Million $","Fruits","Foods",51,"2004",442.7
"Dried, prepared or preserved fruit","WORLD","Million $","Fruits","Foods",52,"2004",1169.9
"Dried, prepared or preserved fruit","WORLD (Quantity)","1,000 mt","Fruits","Foods",53,"2004",1083.5
"Fruit juices","BRAZIL","Million $","Fruits","Foods",54,"2004",115.3
"Fruit juices","MEXICO","Million $","Fruits","Foods",55,"2004",66.9
"Fruit juices","TURKEY","Million $","Fruits","Foods",56,"2004",7.5
"Fruit juices","THAILAND","Million $","Fruits","Foods",57,"2004",26.2
"Fruit juices","CHINA (MAINLAND)","Million $","Fruits","Foods",58,"2004",166.2
"Fruit juices","ARGENTINA","Million $","Fruits","Foods",59,"2004",106.2
"Fruit juices","PHILIPPINES","Million $","Fruits","Foods",60,"2004",51.9
"Fruit juices","CANADA","Million $","Fruits","Foods",61,"2004",43.3
"Fruit juices","REST OF WORLD","Million $","Fruits","Foods",62,"2004",248.1
"Fruit juices","WORLD","Million $","Fruits","Foods",63,"2004",831.6
"Fruit juices","WORLD (Quantity)","1,000 mt","Fruits","Foods",64,"2004",0.8
"Total nuts","VIETNAM","Million $","Nuts","Foods",1,"2004",174
"Total nuts","MEXICO","Million $","Nuts","Foods",2,"2004",147.8
"Total nuts","CANADA","Million $","Nuts","Foods",3,"2004",29.2
"Total nuts","THAILAND","Million $","Nuts","Foods",4,"2004",16.9
"Total nuts","PHILIPPINES","Million $","Nuts","Foods",5,"2004",33.8
"Total nuts","CHINA (MAINLAND)","Million $","Nuts","Foods",6,"2004",65.6
"Total nuts","REPUBLIC OF SOUTH AFRICA","Million $","Nuts","Foods",7,"2004",19.4
"Total nuts","KENYA","Million $","Nuts","Foods",8,"2004",14.9
"Total nuts","BOLIVIA","Million $","Nuts","Foods",9,"2004",19.6
"Total nuts","REST OF WORLD","Million $","Nuts","Foods",10,"2004",558.5
"Total nuts","WORLD","Million $","Nuts","Foods",11,"2004",1079.7
"Total nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",12,"2004",336.7
"Tree nuts","VIETNAM","Million $","Nuts","Foods",13,"2004",170.3
"Tree nuts","MEXICO","Million $","Nuts","Foods",14,"2004",142.2
"Tree nuts","PHILIPPINES","Million $","Nuts","Foods",15,"2004",31.5
"Tree nuts","REPUBLIC OF SOUTH AFRICA","Million $","Nuts","Foods",16,"2004",19.3
"Tree nuts","CHINA (MAINLAND)","Million $","Nuts","Foods",17,"2004",52.5
"Tree nuts","KENYA","Million $","Nuts","Foods",18,"2004",13.6
"Tree nuts","BOLIVIA","Million $","Nuts","Foods",19,"2004",19.6
"Tree nuts","IVORY COAST","Million $","Nuts","Foods",20,"2004",8.6
"Tree nuts","BRAZIL","Million $","Nuts","Foods",21,"2004",147.5
"Tree nuts","REST OF WORLD","Million $","Nuts","Foods",22,"2004",364.8
"Tree nuts","WORLD","Million $","Nuts","Foods",23,"2004",969.9
"Tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",24,"2004",279.8
"Cashew nuts","VIETNAM","Million $","Nuts","Foods",25,"2004",167.3
"Cashew nuts","IVORY COAST","Million $","Nuts","Foods",26,"2004",0
"Cashew nuts","BRAZIL","Million $","Nuts","Foods",27,"2004",125
"Cashew nuts","NIGERIA","Million $","Nuts","Foods",28,"2004",0.1
"Cashew nuts","INDIA","Million $","Nuts","Foods",29,"2004",251.3
"Cashew nuts","THAILAND","Million $","Nuts","Foods",30,"2004",0.3
"Cashew nuts","BURKINA FASO","Million $","Nuts","Foods",31,"2004",0.1
"Cashew nuts","REST OF WORLD","Million $","Nuts","Foods",32,"2004",8.5
"Cashew nuts","WORLD","Million $","Nuts","Foods",33,"2004",552.6
"Cashew nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",34,"2004",131.6
"Prepared tree nuts","VIETNAM","Million $","Nuts","Foods",35,"2004",3.4
"Prepared tree nuts","CANADA","Million $","Nuts","Foods",36,"2004",8.8
"Prepared tree nuts","THAILAND","Million $","Nuts","Foods",37,"2004",12.9
"Prepared tree nuts","MEXICO","Million $","Nuts","Foods",38,"2004",1.2
"Prepared tree nuts","ISRAEL","Million $","Nuts","Foods",39,"2004",2.3
"Prepared tree nuts","SPAIN","Million $","Nuts","Foods",40,"2004",0.8
"Prepared tree nuts","INDIA","Million $","Nuts","Foods",41,"2004",5.5
"Prepared tree nuts","REST OF WORLD","Million $","Nuts","Foods",42,"2004",37.5
"Prepared tree nuts","WORLD","Million $","Nuts","Foods",43,"2004",72.4
"Prepared tree nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",44,"2004",24.3
"Ground nuts","CANADA","Million $","Nuts","Foods",45,"2004",19.1
"Ground nuts","MEXICO","Million $","Nuts","Foods",46,"2004",4.3
"Ground nuts","ARGENTINA","Million $","Nuts","Foods",47,"2004",2.9
"Ground nuts","INDIA","Million $","Nuts","Foods",48,"2004",2.3
"Ground nuts","BRAZIL","Million $","Nuts","Foods",49,"2004",0
"Ground nuts","REST OF WORLD","Million $","Nuts","Foods",50,"2004",8.8
"Ground nuts","WORLD","Million $","Nuts","Foods",51,"2004",37.4
"Ground nuts","WORLD (Quantity)","1,000 mt","Nuts","Foods",52,"2004",32.6
"Total coffee, tea, and spices","BRAZIL","Million $","Coffee","Foods",1,"2004",394
"Total coffee, tea, and spices","COLOMBIA","Million $","Coffee","Foods",2,"2004",410
"Total coffee, tea, and spices","SWITZERLAND","Million $","Coffee","Foods",3,"2004",36.2
"Total coffee, tea, and spices","VIETNAM","Million $","Coffee","Foods",4,"2004",144.5
"Total coffee, tea, and spices","MEXICO","Million $","Coffee","Foods",5,"2004",215.3
"Total coffee, tea, and spices","CANADA","Million $","Coffee","Foods",6,"2004",181
"Total coffee, tea, and spices","GUATEMALA","Million $","Coffee","Foods",7,"2004",216.4
"Total coffee, tea, and spices","REST OF WORLD","Million $","Coffee","Foods",8,"2004",1551.4
"Total coffee, tea, and spices","WORLD","Million $","Coffee","Foods",9,"2004",3148.8
"Total coffee, tea, and spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",10,"2004",1758.7
"Coffee beans, unroasted","BRAZIL","Million $","Coffee","Foods",11,"2004",318.9
"Coffee beans, unroasted","COLOMBIA","Million $","Coffee","Foods",12,"2004",386.5
"Coffee beans, unroasted","GUATEMALA","Million $","Coffee","Foods",13,"2004",212.6
"Coffee beans, unroasted","MEXICO","Million $","Coffee","Foods",14,"2004",123.2
"Coffee beans, unroasted","HONDURAS","Million $","Coffee","Foods",15,"2004",42.6
"Coffee beans, unroasted","NICARAGUA","Million $","Coffee","Foods",16,"2004",51.8
"Coffee beans, unroasted","REST OF WORLD","Million $","Coffee","Foods",17,"2004",732.1
"Coffee beans, unroasted","WORLD","Million $","Coffee","Foods",18,"2004",1867.7
"Coffee beans, unroasted","WORLD (Quantity)","1,000 mt","Coffee","Foods",19,"2004",1239
"Coffee, roasted and instant","SWITZERLAND","Million $","Coffee","Foods",20,"2004",2.4
"Coffee, roasted and instant","CANADA","Million $","Coffee","Foods",21,"2004",81.1
"Coffee, roasted and instant","ITALY","Million $","Coffee","Foods",22,"2004",25.9
"Coffee, roasted and instant","COLOMBIA","Million $","Coffee","Foods",23,"2004",5.3
"Coffee, roasted and instant","MEXICO","Million $","Coffee","Foods",24,"2004",10.1
"Coffee, roasted and instant","REST OF WORLD","Million $","Coffee","Foods",25,"2004",71.7
"Coffee, roasted and instant","WORLD","Million $","Coffee","Foods",26,"2004",196.5
"Coffee, roasted and instant","WORLD (Quantity)","1,000 mt","Coffee","Foods",27,"2004",41.4
"Coffee extracts and preparations","FRANCE","Million $","Coffee","Foods",28,"2004",1.1
"Coffee extracts and preparations","INDIA","Million $","Coffee","Foods",29,"2004",0.1
"Coffee extracts and preparations","POLAND","Million $","Coffee","Foods",30,"2004",0.5
"Coffee extracts and preparations","PORTUGAL","Million $","Coffee","Foods",31,"2004",0
"Coffee extracts and preparations","REST OF WORLD","Million $","Coffee","Foods",32,"2004",1.4
"Coffee extracts and preparations","WORLD","Million $","Coffee","Foods",33,"2004",3.1
"Coffee extracts and preparations","WORLD (Quantity)","1,000 mt","Coffee","Foods",34,"2004",1.7
"Tea and mate","CHINA (MAINLAND)","Million $","Coffee","Foods",35,"2004",38.4
"Tea and mate","CANADA","Million $","Coffee","Foods",36,"2004",62.9
"Tea and mate","JAPAN","Million $","Coffee","Foods",37,"2004",5.7
"Tea and mate","INDIA","Million $","Coffee","Foods",38,"2004",28.5
"Tea and mate","REST OF WORLD","Million $","Coffee","Foods",39,"2004",157.7
"Tea and mate","WORLD","Million $","Coffee","Foods",40,"2004",293.2
"Tea and mate","WORLD (Quantity)","1,000 mt","Coffee","Foods",41,"2004",184.3
"Spices","VIETNAM","Million $","Coffee","Foods",42,"2004",29
"Spices","MADAGASCAR (MALAGASY)","Million $","Coffee","Foods",43,"2004",134.2
"Spices","INDIA","Million $","Coffee","Foods",44,"2004",54.7
"Spices","INDONESIA","Million $","Coffee","Foods",45,"2004",72.8
"Spices","CHINA (MAINLAND)","Million $","Coffee","Foods",46,"2004",54.8
"Spices","SPAIN","Million $","Coffee","Foods",47,"2004",17.8
"Spices","MEXICO","Million $","Coffee","Foods",48,"2004",26.2
"Spices","PERU","Million $","Coffee","Foods",49,"2004",16.8
"Spices","REST OF WORLD","Million $","Coffee","Foods",50,"2004",182.9
"Spices","WORLD","Million $","Coffee","Foods",51,"2004",589.2
"Spices","WORLD (Quantity)","1,000 mt","Coffee","Foods",52,"2004",250
"Total grains and products","CANADA","Million $","Grains","Foods",1,"2004",2223.2
"Total grains and products","MEXICO","Million $","Grains","Foods",2,"2004",308.6
"Total grains and products","ITALY","Million $","Grains","Foods",3,"2004",235.3
"Total grains and products","THAILAND","Million $","Grains","Foods",4,"2004",215.8
"Total grains and products","INDIA","Million $","Grains","Foods",5,"2004",53.3
"Total grains and products","GERMANY, FED. REPUBLIC","Million $","Grains","Foods",6,"2004",111
"Total grains and products","FRANCE","Million $","Grains","Foods",7,"2004",104.6
"Total grains and products","SOUTH KOREA","Million $","Grains","Foods",8,"2004",67.8
"Total grains and products","CHINA (MAINLAND)","Million $","Grains","Foods",9,"2004",87
"Total grains and products","REST OF WORLD","Million $","Grains","Foods",10,"2004",769.6
"Total grains and products","WORLD","Million $","Grains","Foods",11,"2004",4176.2
"Total grains and products","WORLD (Quantity)","1,000 mt","Grains","Foods",12,"2004",6643.2
"Bulk grains","CANADA","Million $","Grains","Foods",13,"2004",399.7
"Bulk grains","THAILAND","Million $","Grains","Foods",14,"2004",160.2
"Bulk grains","INDIA","Million $","Grains","Foods",15,"2004",37.1
"Bulk grains","ARGENTINA","Million $","Grains","Foods",16,"2004",10
"Bulk grains","BRAZIL","Million $","Grains","Foods",17,"2004",0.2
"Bulk grains","PERU","Million $","Grains","Foods",18,"2004",1.1
"Bulk grains","PAKISTAN","Million $","Grains","Foods",19,"2004",12.4
"Bulk grains","REST OF WORLD","Million $","Grains","Foods",20,"2004",74.9000000000001
"Bulk grains","WORLD","Million $","Grains","Foods",21,"2004",695.6
"Bulk grains","WORLD (Quantity)","1,000 mt","Grains","Foods",22,"2004",3904.7
"Wheat and products","CANADA","Million $","Grains","Foods",23,"2004",273.7
"Wheat and products","AUSTRALIA","Million $","Grains","Foods",24,"2004",26
"Wheat and products","GERMANY, FED. REPUBLIC","Million $","Grains","Foods",25,"2004",18
"Wheat and products","INDIA","Million $","Grains","Foods",26,"2004",0.6
"Wheat and products","REST OF WORLD","Million $","Grains","Foods",27,"2004",124.6
"Wheat and products","WORLD","Million $","Grains","Foods",28,"2004",442.9
"Wheat and products","WORLD (Quantity)","1,000 mt","Grains","Foods",29,"2004",1663.4
"Rice and products","THAILAND","Million $","Grains","Foods",30,"2004",162.8
"Rice and products","INDIA","Million $","Grains","Foods",31,"2004",37.4
"Rice and products","PAKISTAN","Million $","Grains","Foods",32,"2004",12.4
"Rice and products","CHINA (MAINLAND)","Million $","Grains","Foods",33,"2004",15.4
"Rice and products","REST OF WORLD","Million $","Grains","Foods",34,"2004",14.2
"Rice and products","WORLD","Million $","Grains","Foods",35,"2004",242.2
"Rice and products","WORLD (Quantity)","1,000 mt","Grains","Foods",36,"2004",475.1
"Milled grain products","CANADA","Million $","Grains","Foods",37,"2004",90.1
"Milled grain products","AUSTRALIA","Million $","Grains","Foods",38,"2004",27.1
"Milled grain products","GERMANY, FED. REPUBLIC","Million $","Grains","Foods",39,"2004",29.2
"Milled grain products","THAILAND","Million $","Grains","Foods",40,"2004",5
"Milled grain products","NETHERLANDS","Million $","Grains","Foods",41,"2004",54.6
"Milled grain products","BELGIUM","Million $","Grains","Foods",42,"2004",25.9
"Milled grain products","POLAND","Million $","Grains","Foods",43,"2004",17.1
"Milled grain products","REST OF WORLD","Million $","Grains","Foods",44,"2004",73.9
"Milled grain products","WORLD","Million $","Grains","Foods",45,"2004",322.9
"Milled grain products","WORLD (Quantity)","1,000 mt","Grains","Foods",46,"2004",555.6
"Cereal and bakery foods","CANADA","Million $","Grains","Foods",47,"2004",1570.2
"Cereal and bakery foods","MEXICO","Million $","Grains","Foods",48,"2004",269.9
"Cereal and bakery foods","ITALY","Million $","Grains","Foods",49,"2004",228.7
"Cereal and bakery foods","FRANCE","Million $","Grains","Foods",50,"2004",58
"Cereal and bakery foods","SOUTH KOREA","Million $","Grains","Foods",51,"2004",65.9
"Cereal and bakery foods","THAILAND","Million $","Grains","Foods",52,"2004",40.1
"Cereal and bakery foods","CHINA (MAINLAND)","Million $","Grains","Foods",53,"2004",58.1
"Cereal and bakery foods","REST OF WORLD","Million $","Grains","Foods",54,"2004",637.7
"Cereal and bakery foods","WORLD","Million $","Grains","Foods",55,"2004",2928.6
"Cereal and bakery foods","WORLD (Quantity)","1,000 mt","Grains","Foods",56,"2004",1541.6
"Total vegetable oils","CANADA","Million $","VegetablesOil","Foods",1,"2004",361.2
"Total vegetable oils","INDONESIA","Million $","VegetablesOil","Foods",2,"2004",50.7
"Total vegetable oils","SPAIN","Million $","VegetablesOil","Foods",3,"2004",126.3
"Total vegetable oils","ITALY","Million $","VegetablesOil","Foods",4,"2004",484.8
"Total vegetable oils","PHILIPPINES","Million $","VegetablesOil","Foods",5,"2004",201.8
"Total vegetable oils","MALAYSIA","Million $","VegetablesOil","Foods",6,"2004",261.1
"Total vegetable oils","MEXICO","Million $","VegetablesOil","Foods",7,"2004",29.9
"Total vegetable oils","REST OF WORLD","Million $","VegetablesOil","Foods",8,"2004",380.2
"Total vegetable oils","WORLD","Million $","VegetablesOil","Foods",9,"2004",1896
"Total vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",10,"2004",1917.2
"Crude vegetable oils","JAPAN","Million $","VegetablesOil","Foods",11,"2004",16.6
"Crude vegetable oils","MEXICO","Million $","VegetablesOil","Foods",12,"2004",6.1
"Crude vegetable oils","TAIWAN","Million $","VegetablesOil","Foods",13,"2004",5
"Crude vegetable oils","INDIA","Million $","VegetablesOil","Foods",14,"2004",0.5
"Crude vegetable oils","CHINA (MAINLAND)","Million $","VegetablesOil","Foods",15,"2004",1.6
"Crude vegetable oils","SOUTH KOREA","Million $","VegetablesOil","Foods",16,"2004",0.2
"Crude vegetable oils","REST OF WORLD","Million $","VegetablesOil","Foods",17,"2004",434.6
"Crude vegetable oils","WORLD","Million $","VegetablesOil","Foods",18,"2004",464.6
"Crude vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",19,"2004",145.9
"Refined vegetable oils","INDONESIA","Million $","VegetablesOil","Foods",20,"2004",32.8
"Refined vegetable oils","PHILIPPINES","Million $","VegetablesOil","Foods",21,"2004",56.1
"Refined vegetable oils","MALAYSIA","Million $","VegetablesOil","Foods",22,"2004",238.5
"Refined vegetable oils","SPAIN","Million $","VegetablesOil","Foods",23,"2004",33.7
"Refined vegetable oils","CANADA","Million $","VegetablesOil","Foods",24,"2004",26
"Refined vegetable oils","ITALY","Million $","VegetablesOil","Foods",25,"2004",217
"Refined vegetable oils","REST OF WORLD","Million $","VegetablesOil","Foods",26,"2004",60.4
"Refined vegetable oils","WORLD","Million $","VegetablesOil","Foods",27,"2004",664.5
"Refined vegetable oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",28,"2004",754.7
"Olive oil","SPAIN","Million $","VegetablesOil","Foods",29,"2004",124
"Olive oil","ITALY","Million $","VegetablesOil","Foods",30,"2004",480.3
"Olive oil","TUNISIA","Million $","VegetablesOil","Foods",31,"2004",39.3
"Olive oil","TURKEY","Million $","VegetablesOil","Foods",32,"2004",27.7
"Olive oil","GREECE","Million $","VegetablesOil","Foods",33,"2004",12.5
"Olive oil","REST OF WORLD","Million $","VegetablesOil","Foods",34,"2004",34.3000000000001
"Olive oil","WORLD","Million $","VegetablesOil","Foods",35,"2004",718.1
"Olive oil","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",36,"2004",237.1
"Tropical oils","INDONESIA","Million $","VegetablesOil","Foods",37,"2004",50.6
"Tropical oils","PHILIPPINES","Million $","VegetablesOil","Foods",38,"2004",201.8
"Tropical oils","MALAYSIA","Million $","VegetablesOil","Foods",39,"2004",260.7
"Tropical oils","COLOMBIA","Million $","VegetablesOil","Foods",40,"2004",2.3
"Tropical oils","INDIA","Million $","VegetablesOil","Foods",41,"2004",0.2
"Tropical oils","SRI LANKA","Million $","VegetablesOil","Foods",42,"2004",0
"Tropical oils","REST OF WORLD","Million $","VegetablesOil","Foods",43,"2004",7.79999999999995
"Tropical oils","WORLD","Million $","VegetablesOil","Foods",44,"2004",523.4
"Tropical oils","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",45,"2004",912.7
"Oilseeds","CANADA","Million $","VegetablesOil","Foods",46,"2004",200.8
"Oilseeds","ARGENTINA","Million $","VegetablesOil","Foods",47,"2004",7.9
"Oilseeds","BULGARIA","Million $","VegetablesOil","Foods",48,"2004",0.1
"Oilseeds","TURKEY","Million $","VegetablesOil","Foods",49,"2004",0.2
"Oilseeds","INDIA","Million $","VegetablesOil","Foods",50,"2004",36.8
"Oilseeds","UKRAINE","Million $","VegetablesOil","Foods",51,"2004",0
"Oilseeds","REST OF WORLD","Million $","VegetablesOil","Foods",52,"2004",99.2
"Oilseeds","WORLD","Million $","VegetablesOil","Foods",53,"2004",345
"Oilseeds","WORLD (Quantity)","1,000 mt","VegetablesOil","Foods",54,"2004",842.2
"Total sweeteners and candy","MEXICO","Million $","Sweets","Foods",1,"2004",308.7
"Total sweeteners and candy","CANADA","Million $","Sweets","Foods",2,"2004",577.8
"Total sweeteners and candy","BRAZIL","Million $","Sweets","Foods",3,"2004",125.9
"Total sweeteners and candy","CHINA (MAINLAND)","Million $","Sweets","Foods",4,"2004",113.5
"Total sweeteners and candy","GERMANY, FED. REPUBLIC","Million $","Sweets","Foods",5,"2004",28.9
"Total sweeteners and candy","INDIA","Million $","Sweets","Foods",6,"2004",15.9
"Total sweeteners and candy","ARGENTINA","Million $","Sweets","Foods",7,"2004",58.6
"Total sweeteners and candy","TURKEY","Million $","Sweets","Foods",8,"2004",7.7
"Total sweeteners and candy","REST OF WORLD","Million $","Sweets","Foods",9,"2004",956.2
"Total sweeteners and candy","WORLD","Million $","Sweets","Foods",10,"2004",2193.2
"Total sweeteners and candy","WORLD (Quantity)","1,000 mt","Sweets","Foods",11,"2004",2433.1
"Sugar, cane and beet","MEXICO","Million $","Sweets","Foods",12,"2004",30
"Sugar, cane and beet","BRAZIL","Million $","Sweets","Foods",13,"2004",67.4
"Sugar, cane and beet","GUATEMALA","Million $","Sweets","Foods",14,"2004",73.5
"Sugar, cane and beet","DOMINICAN REPUBLIC","Million $","Sweets","Foods",15,"2004",74.1
"Sugar, cane and beet","EL SALVADOR","Million $","Sweets","Foods",16,"2004",26.9
"Sugar, cane and beet","COLOMBIA","Million $","Sweets","Foods",17,"2004",40.1
"Sugar, cane and beet","AUSTRALIA","Million $","Sweets","Foods",18,"2004",47.4
"Sugar, cane and beet","REST OF WORLD","Million $","Sweets","Foods",19,"2004",266
"Sugar, cane and beet","WORLD","Million $","Sweets","Foods",20,"2004",625.4
"Sugar, cane and beet","WORLD (Quantity)","1,000 mt","Sweets","Foods",21,"2004",1468.8
"Other sweeteners and syrups","CANADA","Million $","Sweets","Foods",22,"2004",147.2
"Other sweeteners and syrups","MEXICO","Million $","Sweets","Foods",23,"2004",11.1
"Other sweeteners and syrups","PAKISTAN","Million $","Sweets","Foods",24,"2004",0.5
"Other sweeteners and syrups","INDONESIA","Million $","Sweets","Foods",25,"2004",0.4
"Other sweeteners and syrups","CHINA (MAINLAND)","Million $","Sweets","Foods",26,"2004",2.3
"Other sweeteners and syrups","THAILAND","Million $","Sweets","Foods",27,"2004",2.6
"Other sweeteners and syrups","REST OF WORLD","Million $","Sweets","Foods",28,"2004",71
"Other sweeteners and syrups","WORLD","Million $","Sweets","Foods",29,"2004",235.1
